index,louvain
0,13
1,3
2,3
3,7
4,6
5,7
6,3
7,7
8,3
9,3
10,3
11,3
12,20
13,3
14,3
15,7
16,19
17,3
18,20
19,9
20,3
21,7
22,2
23,7
24,6
25,7
26,6
27,6
28,3
29,6
30,3
31,3
32,3
33,3
34,2
35,23
36,10
37,2
38,20
39,10
40,3
41,10
42,10
43,2
44,10
45,20
46,7
47,10
48,7
49,20
50,10
51,3
52,7
53,25
54,3
55,13
56,3
57,3
58,3
59,7
60,3
61,7
62,3
63,3
64,13
65,20
66,13
67,6
68,3
69,6
70,6
71,13
72,9
73,3
74,6
75,6
76,6
77,20
78,3
79,3
80,6
81,6
82,6
83,6
84,3
85,7
86,2
87,9
88,3
89,3
90,3
91,6
92,6
93,7
94,9
95,3
96,3
97,3
98,3
99,10
100,3
101,3
102,3
103,3
104,25
105,25
106,7
107,13
108,3
109,7
110,6
111,3
112,3
113,7
114,3
115,2
116,2
117,10
118,3
119,18
120,6
121,9
122,9
123,25
124,19
125,2
126,9
127,13
128,9
129,6
130,19
131,9
132,9
133,9
134,13
135,13
136,10
137,9
138,13
139,9
140,19
141,13
142,6
143,6
144,9
145,25
146,23
147,3
148,19
149,6
150,7
151,9
152,9
153,9
154,2
155,2
156,6
157,3
158,9
159,10
160,3
161,3
162,6
163,9
164,9
165,9
166,20
167,2
168,19
169,6
170,10
171,9
172,3
173,6
174,3
175,6
176,7
177,2
178,6
179,9
180,9
181,19
182,9
183,6
184,6
185,9
186,6
187,3
188,6
189,19
190,9
191,3
192,10
193,19
194,6
195,19
196,6
197,2
198,7
199,6
200,13
201,10
202,9
203,2
204,9
205,2
206,9
207,13
208,3
209,6
210,9
211,19
212,2
213,6
214,20
215,6
216,13
217,6
218,13
219,7
220,2
221,6
222,6
223,13
224,13
225,6
226,2
227,9
228,13
229,9
230,18
231,12
232,5
233,6
234,9
235,18
236,13
237,11
238,19
239,2
240,19
241,18
242,5
243,8
244,10
245,7
246,19
247,5
248,4
249,18
250,18
251,18
252,2
253,19
254,18
255,19
256,10
257,9
258,13
259,18
260,7
261,17
262,18
263,2
264,23
265,2
266,23
267,23
268,18
269,18
270,16
271,11
272,11
273,5
274,23
275,19
276,18
277,13
278,7
279,13
280,5
281,2
282,10
283,13
284,8
285,18
286,5
287,10
288,5
289,20
290,19
291,4
292,9
293,23
294,9
295,8
296,2
297,10
298,18
299,12
300,5
301,25
302,23
303,18
304,13
305,16
306,13
307,12
308,8
309,23
310,8
311,18
312,18
313,23
314,2
315,25
316,11
317,5
318,2
319,5
320,5
321,4
322,4
323,4
324,5
325,10
326,5
327,2
328,5
329,23
330,20
331,16
332,5
333,20
334,4
335,10
336,5
337,5
338,4
339,10
340,16
341,4
342,26
343,5
344,20
345,4
346,10
347,4
348,11
349,2
350,4
351,4
352,4
353,2
354,5
355,5
356,6
357,10
358,7
359,5
360,2
361,2
362,4
363,4
364,19
365,11
366,16
367,6
368,11
369,4
370,4
371,4
372,7
373,4
374,5
375,4
376,4
377,4
378,4
379,2
380,5
381,23
382,5
383,5
384,2
385,4
386,11
387,11
388,14
389,5
390,11
391,5
392,9
393,23
394,18
395,6
396,5
397,19
398,2
399,5
400,18
401,4
402,4
403,2
404,4
405,4
406,4
407,2
408,5
409,16
410,13
411,23
412,4
413,4
414,11
415,18
416,11
417,11
418,5
419,5
420,4
421,18
422,16
423,10
424,16
425,16
426,10
427,25
428,16
429,2
430,16
431,25
432,2
433,16
434,5
435,4
436,4
437,2
438,5
439,5
440,11
441,4
442,2
443,11
444,4
445,18
446,4
447,25
448,11
449,5
450,20
451,5
452,16
453,11
454,11
455,2
456,11
457,5
458,10
459,10
460,2
461,2
462,4
463,5
464,4
465,4
466,11
467,4
468,4
469,4
470,5
471,5
472,20
473,4
474,4
475,4
476,4
477,4
478,13
479,6
480,18
481,2
482,11
483,2
484,18
485,25
486,10
487,16
488,11
489,16
490,10
491,5
492,11
493,11
494,5
495,7
496,10
497,4
498,4
499,22
500,11
501,12
502,4
503,5
504,10
505,25
506,25
507,5
508,7
509,16
510,5
511,10
512,11
513,5
514,5
515,19
516,5
517,5
518,4
519,4
520,11
521,11
522,5
523,8
524,8
525,21
526,15
527,15
528,22
529,12
530,12
531,1
532,12
533,21
534,22
535,12
536,11
537,17
538,8
539,1
540,24
541,21
542,14
543,8
